"Category","Annual number of days","Five-year running average"
"1855-56",118,
"1856-57",151,
"1857-58",119,
"1858-59",94,
"1859-60",111,119
"1860-61",129,121
"1861-62",133,117
"1862-63",119,117
"1863-64",131,125
"1864-65",117,126
"1865-66",125,125
"1866-67",128,124
"1867-68",108,122
"1868-69",126,121
"1869-70",138,125
"1870-71",100,120
"1871-72",142,123
"1872-73",141,129
"1873-74",136,131
"1874-75",123,128
"1875-76",91,127
"1876-77",132,125
"1877-78",62,109
"1878-79",115,105
"1879-80",93,99
"1880-81",160,112
"1881-82",77,101
"1882-83",127,114
"1883-84",120,115
"1884-85",121,121
"1885-86",131,115
"1886-87",131,126
"1887-88",137,128
"1888-89",87,121
"1889-90",74,112
"1890-91",113,108
"1891-92",96,101
"1892-93",117,97
"1893-94",99,100
"1894-95",104,106
"1895-96",119,107
"1896-97",123,112
"1897-98",101,109
"1898-99",129,115
"1899-00",112,117
"1900-01",118,117
"1901-02",103,113
"1902-03",85,109
"1903-04",140,112
"1904-05",111,111
"1905-06",115,111
"1906-07",106,111
"1907-08",106,116
"1908-09",118,111
"1909-10",96,108
"1910-11",103,106
"1911-12",113,107
"1912-13",104,107
"1913-14",83,100
"1914-15",115,104
"1915-16",111,105
"1916-17",116,106
"1917-18",116,108
"1918-19",83,108
"1919-20",116,108
"1920-21",85,103
"1921-22",96,99
"1922-23",127,101
"1923-24",103,105
"1924-25",103,103
"1925-26",126,111
"1926-27",102,112
"1927-28",108,108
"1928-29",96,107
"1929-30",104,107
"1930-31",98,102
"1931-32",60,93
"1932-33",107,93
"1933-34",103,94
"1934-35",98,93
"1935-36",107,95
"1936-37",123,108
"1937-38",111,108
"1938-39",102,108
"1939-40",102,109
"1940-41",127,113
"1941-42",85,105
"1942-43",114,106
"1943-44",101,106
"1944-45",89,103
"1945-46",99,98
"1946-47",108,102
"1947-48",108,101
"1948-49",92,99
"1949-50",113,104
"1950-51",118,108
"1951-52",112,109
"1952-53",93,106
"1953-54",72,102
"1954-55",83,96
"1955-56",109,94
"1956-57",92,90
"1957-58",109,93
"1958-59",125,104
"1959-60",101,107
"1960-61",98,105
"1961-62",113,109
"1962-63",112,110
"1963-64",92,103
"1964-65",114,106
"1965-66",65,99
"1966-67",88,94
"1967-68",87,89
"1968-69",101,91
"1969-70",92,87
"1970-71",93,92
"1971-72",95,94
"1972-73",90,94
"1973-74",94,93
"1974-75",95,93
"1975-76",90,93
"1976-77",103,94
"1977-78",121,101
"1978-79",117,105
"1979-80",104,107
"1980-81",86,106
"1981-82",100,106
"1982-83",56,93
"1983-84",107,91
"1984-85",92,88
"1985-86",113,94
"1986-87",85,91
"1987-88",91,98
"1988-89",93,95
"1989-90",98,96
"1990-91",88,91
"1991-92",91,92
"1992-93",108,96
"1993-94",95,96
"1994-95",74,91
"1995-96",107,95
"1996-97",96,96
"1997-98",49,84
"1998-99",70,79
"1999-00",52,75
"2000-01",108,75
"2001-02",56,67
"2002-03",83,74
"2003-04",77,75
"2004-05",97,84
"2005-06",94,81
"2006-07",67,84
"2007-08",122,91
"2008-09",104,97
"2009-10",88,95
"2010-11",112,99
"2011-12",69,99
"2012-13",101,95
"2013-14",121,98
"2014-15",105,102
"2015-16",62,92
"2016-17",81,94
"2017-18",93,92
"2018-19",97,88
"2019-90",82,83
"2020-21",83,87
"2021-22",82,87
"2022-23",91,87
